Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)
20.3644	194.319	1217.18	-20885.1
20.4642	193.409	1211.48	-20869.8
20.5639	192.535	1206	-20841.8
20.6637	193.292	1210.75	-20806.6
20.7635	195.623	1225.34	-20802.2
20.8633	198.345	1242.4	-20838.8
20.9631	201.236	1260.51	-20853.3
21.0628	202.951	1271.25	-20877.4
21.1626	203.195	1272.78	-20871.5
21.2624	203.252	1273.13	-20893.9
21.3622	202.488	1268.35	-20915.4
21.4619	199.633	1250.46	-20875.3
21.5617	194.866	1220.6	-20831.6
21.6615	189.01	1183.92	-20795.4
21.7613	184.643	1156.57	-20740.4
21.861	182.232	1141.47	-20715.2
21.9608	184.396	1155.02	-20725.9
22.0606	190.153	1191.08	-20783.5
22.1604	196.139	1228.57	-20877.4
22.2601	200.106	1253.42	-20877.7
22.3599	202.02	1265.41	-20886.4
22.4597	202.108	1265.97	-20883.8
22.5595	200.414	1255.35	-20856.9
22.6593	198.404	1242.76	-20847.3
22.759	196.125	1228.49	-20819.6
22.8588	194.58	1218.81	-20813
22.9586	194.907	1220.86	-20825.6
23.0584	197.133	1234.8	-20835.8
23.1581	200.769	1257.58	-20859.2
23.2579	204.372	1280.15	-20869.9
23.3577	206.533	1293.68	-20878.6
23.4575	206.97	1296.42	-20885.8
